pack_quantity,unit_type,normalized_price,calculation,confidence,notes,retailer_product_id,barcode,original_name,canonical_name,current_price,category,store_id
1,bottle,35.0,"The product name 'ראש נקי - תרסיס טבעי' does not contain any explicit pack quantity indicators. It is likely a single bottle of spray, as indicated by the term 'תרסיס' (spray). Therefore, the pack_quantity is assumed to be 1.",medium,"The product is a spray, which typically comes in a single bottle. No volume or weight measurements are provided, so the default assumption is a single item.",10396305,1225225210495,ראש נקי - תרסיס טבעי (₪35 ל-),ראש נקי - תרסיס טבעי (₪35 ל-),35.0,בריאות/כינים/תכשירים לטיפול בכינים,52001
1,package,1440.0,"The product name 'ציפורית – Sephorris' does not contain any explicit pack quantity indicators or volume/weight measurements. Therefore, it is assumed to be a single package.",medium,"The product name lacks specific quantity or volume/weight information, leading to the assumption of a single package.",10396306,7290011552299,"Lovlis ציפורית – Sephorris (₪1,440 ל-)","ציפורית – Sephorris (₪1,440 ל-)",1440.0,קוסמטיקה/טיפוח ציפורניים/שמני הזנה לציפורניים,52001
20,capsule,30.8,"The product name explicitly states '20 כמוסות', indicating there are 20 capsules in the pack. The current price is given per unit (₪1.54 per capsule), so the normalized price is calculated as 20 capsules × ₪1.54 per capsule.",high,"The product name clearly indicates the number of capsules, and the per-unit price confirms the calculation.",10396307,7290008092241,ג'נבול קאפס כמוסות ג'ל 20 כמוסות (₪1.54 ליחידה),ג'נבול קאפס כמוסות ג'ל 20 כמוסות (₪1.54 ליחידה),1.54,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,249.0,"The product name 'לייף שמן רוזמרין' does not contain any explicit pack quantity indicators. It is likely a single bottle of rosemary oil, as indicated by the lack of discrete item indicators and the nature of the product.",high,Assumed to be a single bottle of rosemary oil based on typical packaging for oils.,10396308,7290103435554,לייף שמן רוזמרין (₪249 ל-),לייף שמן רוזמרין (₪249 ל-),249.0,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,17.96,"The product name 'לייף שמן שקדים' does not contain any explicit pack quantity indicators. It is likely a liquid product, and the price is given per bottle. Therefore, assume a single bottle.",high,"The product is likely a single bottle of almond oil, as indicated by the lack of discrete item indicators and the typical packaging for such products.",10396309,7290108457643,לייף שמן שקדים * (₪17.96 ל-),לייף שמן שקדים * (₪17.96 ל-),17.96,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,329.0,"The product name 'לייף שמן עץ התה' does not contain any explicit pack quantity indicators such as units, capsules, or wipes. It is likely a liquid product, possibly measured in volume (ml or liter), which is not explicitly stated. Therefore, it is assumed to be a single bottle.",high,Assumed to be a single bottle of tea tree oil based on typical product packaging for oils.,10396310,7290103435547,לייף שמן עץ התה (₪329 ל-),לייף שמן עץ התה (₪329 ל-),329.0,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,389.0,"The product name 'לייף שמן אתרי טהור לבנדר' does not contain any explicit pack quantity indicators. It is likely a single bottle of essential oil, as indicated by the lack of discrete item counts and the nature of the product.",high,"The product is an essential oil, typically sold in single bottles. No volume or weight is specified, but the assumption of a single bottle is reasonable.",10396311,7290103435530,לייף שמן אתרי טהור לבנדר (₪389 ל-),לייף שמן אתרי טהור לבנדר (₪389 ל-),389.0,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,359.0,"The product name 'פיור אויל שמן עץ התה האוסטרלי' does not contain any explicit pack quantity indicators such as units, capsules, or wipes. It is likely a single bottle of tea tree oil, which is typically sold by volume. Therefore, assume pack_quantity as 1 and unit_type as 'bottle'.",high,"The product name suggests a liquid product, likely sold in a single bottle. No explicit pack indicators are present, and the price is given per bottle.",10396312,7290004760373,פיור אויל שמן עץ התה האוסטרלי (₪359 ל-),פיור אויל שמן עץ התה האוסטרלי (₪359 ל-),359.0,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,package,259.0,"The product name 'טפטפים שמנים לרענון הנשימה' does not contain any explicit pack quantity indicators or volume/weight measurements. Therefore, it is assumed to be a single package.",medium,"The product name does not provide specific information about the number of items or volume/weight, so a default assumption of a single package is made.",10396313,7290008098786,טפטפים שמנים לרענון הנשימה (₪259 ל-),טפטפים שמנים לרענון הנשימה (₪259 ל-),259.0,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
1,bottle,167.8,"The product name contains no explicit pack quantity indicators and is a volume-based item (likely a bottle of oil). Therefore, assume a single bottle.",high,"The product is a massage oil, typically sold as a single bottle. No pack indicators are present.",10396314,4001638095105,וולדה שמן לעיסוי פרינאום (₪167.80 ל-),וולדה שמן לעיסוי פרינאום (₪167.80 ל-),167.8,טיפוח/דרמוקוסמטיקה/טיפוח גוף דרמוקוסמטיקה,52001
